Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,60.000000
0,3,STA,FIXED_STA_DISTANCE,60.000000
0,4,STA,FIXED_STA_DISTANCE,60.000000
0,5,STA,FIXED_STA_DISTANCE,60.000000
0,6,STA,FIXED_STA_DISTANCE,60.000000
0,7,STA,FIXED_STA_DISTANCE,60.000000
0,8,STA,FIXED_STA_DISTANCE,60.000000
0,9,STA,FIXED_STA_DISTANCE,60.000000
0,10,STA,FIXED_STA_DISTANCE,60.000000
0,11,STA,FIXED_STA_DISTANCE,60.000000
0,12,STA,FIXED_STA_DISTANCE,60.000000
0,13,STA,FIXED_STA_DISTANCE,60.000000
0,14,STA,FIXED_STA_DISTANCE,60.000000
0,15,STA,FIXED_STA_DISTANCE,60.000000
0,16,STA,FIXED_STA_DISTANCE,60.000000
0,17,STA,FIXED_STA_DISTANCE,60.000000
0,18,STA,FIXED_STA_DISTANCE,60.000000
0,19,STA,FIXED_STA_DISTANCE,60.000000
0,20,STA,FIXED_STA_DISTANCE,60.000000
0,21,STA,FIXED_STA_DISTANCE,60.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.051234,18,STA,ASSOC,
0.051234,18,STA,JOINED,
0.0537512,21,STA,ASSOC,
0.0537512,21,STA,JOINED,
0.0567461,6,STA,ASSOC,
0.0567461,6,STA,JOINED,
0.0570905,7,STA,ASSOC,
0.0570905,7,STA,JOINED,
0.0583138,11,STA,ASSOC,
0.0583138,11,STA,JOINED,
0.103169,15,STA,ASSOC,
0.103169,15,STA,JOINED,
0.103513,13,STA,ASSOC,
0.103513,13,STA,JOINED,
0.103857,19,STA,ASSOC,
0.103857,19,STA,JOINED,
0.105942,2,STA,ASSOC,
0.105942,2,STA,JOINED,
0.106286,3,STA,ASSOC,
0.106286,3,STA,JOINED,
0.106631,5,STA,ASSOC,
0.106631,5,STA,JOINED,
0.106975,4,STA,ASSOC,
0.106975,4,STA,JOINED,
0.111699,17,STA,ASSOC,
0.111699,17,STA,JOINED,
0.112044,10,STA,ASSOC,
0.112044,10,STA,JOINED,
0.112388,8,STA,ASSOC,
0.112388,8,STA,JOINED,
0.112733,14,STA,ASSOC,
0.112733,14,STA,JOINED,
0.113077,12,STA,ASSOC,
0.113077,12,STA,JOINED,
0.113795,9,STA,ASSOC,
0.113795,9,STA,JOINED,
0.114871,16,STA,ASSOC,
0.114871,16,STA,JOINED,
0.117379,20,STA,ASSOC,
0.117379,20,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,4.344000
2,3,STA,THROUGHPUT_MBPS,4.416000
2,4,STA,THROUGHPUT_MBPS,1.752000
2,5,STA,THROUGHPUT_MBPS,4.392000
2,6,STA,THROUGHPUT_MBPS,3.480000
2,7,STA,THROUGHPUT_MBPS,3.732000
2,8,STA,THROUGHPUT_MBPS,4.824000
2,9,STA,THROUGHPUT_MBPS,3.072000
