Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,70.000000
0,3,STA,FIXED_STA_DISTANCE,70.000000
0,4,STA,FIXED_STA_DISTANCE,70.000000
0,5,STA,FIXED_STA_DISTANCE,70.000000
0,6,STA,FIXED_STA_DISTANCE,70.000000
0,7,STA,FIXED_STA_DISTANCE,70.000000
0,8,STA,FIXED_STA_DISTANCE,70.000000
0,9,STA,FIXED_STA_DISTANCE,70.000000
0,10,STA,FIXED_STA_DISTANCE,70.000000
0,11,STA,FIXED_STA_DISTANCE,70.000000
0,12,STA,FIXED_STA_DISTANCE,70.000000
0,13,STA,FIXED_STA_DISTANCE,70.000000
0,14,STA,FIXED_STA_DISTANCE,70.000000
0,15,STA,FIXED_STA_DISTANCE,70.000000
0,16,STA,FIXED_STA_DISTANCE,70.000000
0,17,STA,FIXED_STA_DISTANCE,70.000000
0,18,STA,FIXED_STA_DISTANCE,70.000000
0,19,STA,FIXED_STA_DISTANCE,70.000000
0,20,STA,FIXED_STA_DISTANCE,70.000000
0,21,STA,FIXED_STA_DISTANCE,70.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0532245,19,STA,ASSOC,
0.0532245,19,STA,JOINED,
0.053569,17,STA,ASSOC,
0.053569,17,STA,JOINED,
0.0579799,5,STA,ASSOC,
0.0579799,5,STA,JOINED,
0.0590565,3,STA,ASSOC,
0.0590565,3,STA,JOINED,
0.103704,21,STA,ASSOC,
0.103704,21,STA,JOINED,
0.104048,2,STA,ASSOC,
0.104048,2,STA,JOINED,
0.106375,12,STA,ASSOC,
0.106375,12,STA,JOINED,
0.106719,18,STA,ASSOC,
0.106719,18,STA,JOINED,
0.109101,20,STA,ASSOC,
0.109101,20,STA,JOINED,
0.109445,15,STA,ASSOC,
0.109445,15,STA,JOINED,
0.110813,10,STA,ASSOC,
0.110813,10,STA,JOINED,
0.112171,8,STA,ASSOC,
0.112171,8,STA,JOINED,
0.113083,7,STA,ASSOC,
0.113083,7,STA,JOINED,
0.114177,16,STA,ASSOC,
0.114177,16,STA,JOINED,
0.115358,6,STA,ASSOC,
0.115358,6,STA,JOINED,
0.117205,4,STA,ASSOC,
0.117205,4,STA,JOINED,
0.201086,11,STA,ASSOC,
0.201086,11,STA,JOINED,
0.202615,14,STA,ASSOC,
0.202615,14,STA,JOINED,
0.205096,9,STA,ASSOC,
0.205096,9,STA,JOINED,
0.60154,13,STA,ASSOC,
0.60154,13,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,2.508000
2,3,STA,THROUGHPUT_MBPS,0.756000
2,4,STA,THROUGHPUT_MBPS,0.732000
2,5,STA,THROUGHPUT_MBPS,2.424000
2,6,STA,THROUGHPUT_MBPS,2.112000
2,7,STA,THROUGHPUT_MBPS,0.840000
2,8,STA,THROUGHPUT_MBPS,4.476000
2,9,STA,THROUGHPUT_MBPS,2.760000
2,10,STA,THROUGHPUT_MBPS,0.204000
2,11,STA,THROUGHPUT_MBPS,0.348000
2,12,STA,THROUGHPUT_MBPS,1.620000
2,13,STA,THROUGHPUT_MBPS,2.412000
2,14,STA,THROUGHPUT_MBPS,2.460000
2,15,STA,THROUGHPUT_MBPS,4.332000
2,16,STA,THROUGHPUT_MBPS,2.436000
2,17,STA,THROUGHPUT_MBPS,1.908000
2,18,STA,THROUGHPUT_MBPS,2.220000
2,19,STA,THROUGHPUT_MBPS,0.660000
2,20,STA,THROUGHPUT_MBPS,4.392000
2,21,STA,THROUGHPUT_MBPS,3.528000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,43.128000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,3594.000000
2,1,AP,LATENCY_P95_MS,517.509071
3,2,STA,THROUGHPUT_MBPS,1.512000
3,3,STA,THROUGHPUT_MBPS,4.284000
3,4,STA,THROUGHPUT_MBPS,3.816000
3,5,STA,THROUGHPUT_MBPS,2.640000
3,6,STA,THROUGHPUT_MBPS,3.480000
3,7,STA,THROUGHPUT_MBPS,1.716000
3,8,STA,THROUGHPUT_MBPS,2.388000
3,9,STA,THROUGHPUT_MBPS,1.008000
3,10,STA,THROUGHPUT_MBPS,3.384000
3,11,STA,THROUGHPUT_MBPS,0.972000
3,12,STA,THROUGHPUT_MBPS,1.800000
3,13,STA,THROUGHPUT_MBPS,5.760000
3,14,STA,THROUGHPUT_MBPS,4.572000
3,15,STA,THROUGHPUT_MBPS,3.072000
3,16,STA,THROUGHPUT_MBPS,6.672000
3,17,STA,THROUGHPUT_MBPS,1.056000
3,18,STA,THROUGHPUT_MBPS,2.508000
3,19,STA,THROUGHPUT_MBPS,5.724000
3,20,STA,THROUGHPUT_MBPS,3.204000
3,21,STA,THROUGHPUT_MBPS,4.440000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,64.008000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,5334.000000
3,1,AP,LATENCY_P95_MS,566.524726
4,2,STA,THROUGHPUT_MBPS,1.980000
4,3,STA,THROUGHPUT_MBPS,5.220000
4,4,STA,THROUGHPUT_MBPS,4.200000
4,5,STA,THROUGHPUT_MBPS,2.472000
4,6,STA,THROUGHPUT_MBPS,2.508000
4,7,STA,THROUGHPUT_MBPS,4.812000
4,8,STA,THROUGHPUT_MBPS,1.128000
4,9,STA,THROUGHPUT_MBPS,2.376000
4,10,STA,THROUGHPUT_MBPS,6.384000
4,11,STA,THROUGHPUT_MBPS,3.792000
4,12,STA,THROUGHPUT_MBPS,2.832000
4,13,STA,THROUGHPUT_MBPS,5.628000
4,14,STA,THROUGHPUT_MBPS,2.724000
4,15,STA,THROUGHPUT_MBPS,2.988000
4,16,STA,THROUGHPUT_MBPS,4.260000
4,17,STA,THROUGHPUT_MBPS,2.412000
4,18,STA,THROUGHPUT_MBPS,1.584000
4,19,STA,THROUGHPUT_MBPS,2.580000
4,20,STA,THROUGHPUT_MBPS,4.320000
4,21,STA,THROUGHPUT_MBPS,3.612000
4,1,AP,AGGREGATE_THROUGHPUT_MBPS,67.812000
4,1,AP,SENT_COUNT,8320.000000
4,1,AP,RECV_COUNT,5651.000000
4,1,AP,LATENCY_P95_MS,566.138116
5,2,STA,THROUGHPUT_MBPS,4.140000
5,3,STA,THROUGHPUT_MBPS,1.536000
5,4,STA,THROUGHPUT_MBPS,3.072000
5,5,STA,THROUGHPUT_MBPS,3.876000
5,6,STA,THROUGHPUT_MBPS,3.444000
5,7,STA,THROUGHPUT_MBPS,4.824000
5,8,STA,THROUGHPUT_MBPS,2.904000
5,9,STA,THROUGHPUT_MBPS,2.604000
5,10,STA,THROUGHPUT_MBPS,4.788000
5,11,STA,THROUGHPUT_MBPS,5.652000
5,12,STA,THROUGHPUT_MBPS,2.604000
5,13,STA,THROUGHPUT_MBPS,2.892000
5,14,STA,THROUGHPUT_MBPS,3.204000
5,15,STA,THROUGHPUT_MBPS,3.912000
5,16,STA,THROUGHPUT_MBPS,4.368000
