Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,80.000000
0,3,STA,FIXED_STA_DISTANCE,80.000000
0,4,STA,FIXED_STA_DISTANCE,80.000000
0,5,STA,FIXED_STA_DISTANCE,80.000000
0,6,STA,FIXED_STA_DISTANCE,80.000000
0,7,STA,FIXED_STA_DISTANCE,80.000000
0,8,STA,FIXED_STA_DISTANCE,80.000000
0,9,STA,FIXED_STA_DISTANCE,80.000000
0,10,STA,FIXED_STA_DISTANCE,80.000000
0,11,STA,FIXED_STA_DISTANCE,80.000000
0,12,STA,FIXED_STA_DISTANCE,80.000000
0,13,STA,FIXED_STA_DISTANCE,80.000000
0,14,STA,FIXED_STA_DISTANCE,80.000000
0,15,STA,FIXED_STA_DISTANCE,80.000000
0,16,STA,FIXED_STA_DISTANCE,80.000000
0,17,STA,FIXED_STA_DISTANCE,80.000000
0,18,STA,FIXED_STA_DISTANCE,80.000000
0,19,STA,FIXED_STA_DISTANCE,80.000000
0,20,STA,FIXED_STA_DISTANCE,80.000000
0,21,STA,FIXED_STA_DISTANCE,80.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0509658,13,STA,ASSOC,
0.0509658,13,STA,JOINED,
0.0567551,10,STA,ASSOC,
0.0567551,10,STA,JOINED,
0.0588677,2,STA,ASSOC,
0.0588677,2,STA,JOINED,
0.0598882,3,STA,ASSOC,
0.0598882,3,STA,JOINED,
0.0602327,19,STA,ASSOC,
0.0602327,19,STA,JOINED,
0.0605773,20,STA,ASSOC,
0.0605773,20,STA,JOINED,
0.0625504,4,STA,ASSOC,
0.0625504,4,STA,JOINED,
0.063233,12,STA,ASSOC,
0.063233,12,STA,JOINED,
0.0642715,7,STA,ASSOC,
0.0642715,7,STA,JOINED,
0.0673832,9,STA,ASSOC,
0.0673832,9,STA,JOINED,
0.0689242,16,STA,ASSOC,
0.0689242,16,STA,JOINED,
0.0733468,11,STA,ASSOC,
0.0733468,11,STA,JOINED,
0.0758349,21,STA,ASSOC,
0.0758349,21,STA,JOINED,
0.0774255,6,STA,ASSOC,
0.0774255,6,STA,JOINED,
0.103289,15,STA,ASSOC,
0.103289,15,STA,JOINED,
0.151085,5,STA,ASSOC,
0.151085,5,STA,JOINED,
0.153876,17,STA,ASSOC,
0.153876,17,STA,JOINED,
0.253538,14,STA,ASSOC,
0.253538,14,STA,JOINED,
0.55066,8,STA,ASSOC,
0.55066,8,STA,JOINED,
0.553092,18,STA,ASSOC,
0.553092,18,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,0.300000
2,3,STA,THROUGHPUT_MBPS,3.036000
2,4,STA,THROUGHPUT_MBPS,0.396000
2,5,STA,THROUGHPUT_MBPS,2.856000
2,6,STA,THROUGHPUT_MBPS,2.796000
2,7,STA,THROUGHPUT_MBPS,2.700000
2,8,STA,THROUGHPUT_MBPS,0.864000
2,10,STA,THROUGHPUT_MBPS,0.240000
2,11,STA,THROUGHPUT_MBPS,1.860000
2,12,STA,THROUGHPUT_MBPS,2.100000
2,13,STA,THROUGHPUT_MBPS,2.064000
2,15,STA,THROUGHPUT_MBPS,1.824000
2,16,STA,THROUGHPUT_MBPS,0.372000
2,17,STA,THROUGHPUT_MBPS,1.308000
2,18,STA,THROUGHPUT_MBPS,4.356000
2,19,STA,THROUGHPUT_MBPS,1.836000
2,20,STA,THROUGHPUT_MBPS,1.608000
2,21,STA,THROUGHPUT_MBPS,1.992000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,32.508000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,2709.000000
2,1,AP,LATENCY_P95_MS,533.693147
3,2,STA,THROUGHPUT_MBPS,3.384000
3,3,STA,THROUGHPUT_MBPS,5.628000
3,4,STA,THROUGHPUT_MBPS,2.256000
3,5,STA,THROUGHPUT_MBPS,1.176000
3,6,STA,THROUGHPUT_MBPS,2.520000
3,7,STA,THROUGHPUT_MBPS,3.732000
3,8,STA,THROUGHPUT_MBPS,1.356000
3,10,STA,THROUGHPUT_MBPS,2.952000
3,11,STA,THROUGHPUT_MBPS,4.224000
3,12,STA,THROUGHPUT_MBPS,3.252000
3,13,STA,THROUGHPUT_MBPS,1.032000
3,15,STA,THROUGHPUT_MBPS,2.076000
3,16,STA,THROUGHPUT_MBPS,1.032000
3,17,STA,THROUGHPUT_MBPS,4.440000
3,18,STA,THROUGHPUT_MBPS,2.100000
3,19,STA,THROUGHPUT_MBPS,0.552000
3,20,STA,THROUGHPUT_MBPS,4.500000
3,21,STA,THROUGHPUT_MBPS,2.892000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,49.104000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,4092.000000
3,1,AP,LATENCY_P95_MS,547.441049
4,2,STA,THROUGHPUT_MBPS,3.744000
4,3,STA,THROUGHPUT_MBPS,3.900000
4,4,STA,THROUGHPUT_MBPS,1.332000
4,5,STA,THROUGHPUT_MBPS,5.112000
4,6,STA,THROUGHPUT_MBPS,1.620000
4,7,STA,THROUGHPUT_MBPS,6.864000
4,8,STA,THROUGHPUT_MBPS,2.256000
4,10,STA,THROUGHPUT_MBPS,2.088000
4,11,STA,THROUGHPUT_MBPS,2.700000
4,12,STA,THROUGHPUT_MBPS,2.124000
4,13,STA,THROUGHPUT_MBPS,1.080000
4,15,STA,THROUGHPUT_MBPS,3.660000
4,16,STA,THROUGHPUT_MBPS,1.464000
4,17,STA,THROUGHPUT_MBPS,1.320000
4,18,STA,THROUGHPUT_MBPS,2.700000
4,19,STA,THROUGHPUT_MBPS,2.100000
4,20,STA,THROUGHPUT_MBPS,3.516000
4,21,STA,THROUGHPUT_MBPS,3.660000
4,1,AP,AGGREGATE_THROUGHPUT_MBPS,51.240000
4,1,AP,SENT_COUNT,8320.000000
4,1,AP,RECV_COUNT,4270.000000
4,1,AP,LATENCY_P95_MS,547.610756
4.0288,20,STA,WIFI_DROP,
4.0312,20,STA,WIFI_DROP,
4.0336,20,STA,WIFI_DROP,
4.036,20,STA,WIFI_DROP,
4.0384,20,STA,WIFI_DROP,
4.0408,20,STA,WIFI_DROP,
4.0432,20,STA,WIFI_DROP,
4.0456,20,STA,WIFI_DROP,
4.048,20,STA,WIFI_DROP,
4.0504,20,STA,WIFI_DROP,
4.0528,20,STA,WIFI_DROP,
4.0552,20,STA,WIFI_DROP,
4.0576,20,STA,WIFI_DROP,
4.06,20,STA,WIFI_DROP,
4.0624,20,STA,WIFI_DROP,
4.0648,20,STA,WIFI_DROP,
4.0672,20,STA,WIFI_DROP,
4.0696,20,STA,WIFI_DROP,
4.072,20,STA,WIFI_DROP,
4.0744,20,STA,WIFI_DROP,
4.0768,20,STA,WIFI_DROP,
4.0792,20,STA,WIFI_DROP,
4.0816,20,STA,WIFI_DROP,
4.084,20,STA,WIFI_DROP,
4.0864,20,STA,WIFI_DROP,
4.0888,20,STA,WIFI_DROP,
4.0912,20,STA,WIFI_DROP,
4.0936,20,STA,WIFI_DROP,
4.096,20,STA,WIFI_DROP,
4.0984,20,STA,WIFI_DROP,
4.1008,20,STA,WIFI_DROP,
4.1032,20,STA,WIFI_DROP,
4.1056,20,STA,WIFI_DROP,
4.108,20,STA,WIFI_DROP,
4.1104,20,STA,WIFI_DROP,
4.1128,20,STA,WIFI_DROP,
4.1152,20,STA,WIFI_DROP,
4.1176,20,STA,WIFI_DROP,
4.12,20,STA,WIFI_DROP,
4.1224,20,STA,WIFI_DROP,
4.1248,20,STA,WIFI_DROP,
4.1272,20,STA,WIFI_DROP,
4.1296,20,STA,WIFI_DROP,
4.132,20,STA,WIFI_DROP,
4.1344,20,STA,WIFI_DROP,
4.1368,20,STA,WIFI_DROP,
4.1392,20,STA,WIFI_DROP,
4.1416,20,STA,WIFI_DROP,
4.144,20,STA,WIFI_DROP,
4.1464,20,STA,WIFI_DROP,
4.1488,20,STA,WIFI_DROP,
4.1512,20,STA,WIFI_DROP,
4.1536,20,STA,WIFI_DROP,
4.156,20,STA,WIFI_DROP,
4.1584,20,STA,WIFI_DROP,
4.1608,20,STA,WIFI_DROP,
4.1632,20,STA,WIFI_DROP,
4.1656,20,STA,WIFI_DROP,
4.168,20,STA,WIFI_DROP,
4.1704,20,STA,WIFI_DROP,
4.1728,20,STA,WIFI_DROP,
4.1752,20,STA,WIFI_DROP,
4.1776,20,STA,WIFI_DROP,
4.18,20,STA,WIFI_DROP,
4.1824,20,STA,WIFI_DROP,
4.1848,20,STA,WIFI_DROP,
4.1872,20,STA,WIFI_DROP,
4.1896,20,STA,WIFI_DROP,
4.192,20,STA,WIFI_DROP,
