Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,40.000000
0,3,STA,FIXED_STA_DISTANCE,40.000000
0,4,STA,FIXED_STA_DISTANCE,40.000000
0,5,STA,FIXED_STA_DISTANCE,40.000000
0,6,STA,FIXED_STA_DISTANCE,40.000000
0,7,STA,FIXED_STA_DISTANCE,40.000000
0,8,STA,FIXED_STA_DISTANCE,40.000000
0,9,STA,FIXED_STA_DISTANCE,40.000000
0,10,STA,FIXED_STA_DISTANCE,40.000000
0,11,STA,FIXED_STA_DISTANCE,40.000000
0,12,STA,FIXED_STA_DISTANCE,40.000000
0,13,STA,FIXED_STA_DISTANCE,40.000000
0,14,STA,FIXED_STA_DISTANCE,40.000000
0,15,STA,FIXED_STA_DISTANCE,40.000000
0,16,STA,FIXED_STA_DISTANCE,40.000000
0,17,STA,FIXED_STA_DISTANCE,40.000000
0,18,STA,FIXED_STA_DISTANCE,40.000000
0,19,STA,FIXED_STA_DISTANCE,40.000000
0,20,STA,FIXED_STA_DISTANCE,40.000000
0,21,STA,FIXED_STA_DISTANCE,40.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0507573,17,STA,ASSOC,
0.0507573,17,STA,JOINED,
0.0518171,5,STA,ASSOC,
0.0518171,5,STA,JOINED,
0.0536924,18,STA,ASSOC,
0.0536924,18,STA,JOINED,
0.0540366,16,STA,ASSOC,
0.0540366,16,STA,JOINED,
0.0569629,3,STA,ASSOC,
0.0569629,3,STA,JOINED,
0.0573072,11,STA,ASSOC,
0.0573072,11,STA,JOINED,
0.0576515,7,STA,ASSOC,
0.0576515,7,STA,JOINED,
0.103971,15,STA,ASSOC,
0.103971,15,STA,JOINED,
0.104315,4,STA,ASSOC,
0.104315,4,STA,JOINED,
0.10466,20,STA,ASSOC,
0.10466,20,STA,JOINED,
0.105342,10,STA,ASSOC,
0.105342,10,STA,JOINED,
0.105686,12,STA,ASSOC,
0.105686,12,STA,JOINED,
0.106057,9,STA,ASSOC,
0.106057,9,STA,JOINED,
0.106402,6,STA,ASSOC,
0.106402,6,STA,JOINED,
0.106746,21,STA,ASSOC,
0.106746,21,STA,JOINED,
0.107724,13,STA,ASSOC,
0.107724,13,STA,JOINED,
0.108942,2,STA,ASSOC,
0.108942,2,STA,JOINED,
0.109738,19,STA,ASSOC,
0.109738,19,STA,JOINED,
0.110553,14,STA,ASSOC,
0.110553,14,STA,JOINED,
0.20106,8,STA,ASSOC,
0.20106,8,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,4.404000
2,3,STA,THROUGHPUT_MBPS,4.236000
2,4,STA,THROUGHPUT_MBPS,4.884000
2,5,STA,THROUGHPUT_MBPS,4.680000
2,6,STA,THROUGHPUT_MBPS,4.488000
2,7,STA,THROUGHPUT_MBPS,4.524000
2,8,STA,THROUGHPUT_MBPS,4.332000
2,9,STA,THROUGHPUT_MBPS,4.860000
2,10,STA,THROUGHPUT_MBPS,4.296000
2,11,STA,THROUGHPUT_MBPS,4.680000
2,12,STA,THROUGHPUT_MBPS,4.560000
2,13,STA,THROUGHPUT_MBPS,4.560000
2,14,STA,THROUGHPUT_MBPS,4.992000
2,15,STA,THROUGHPUT_MBPS,3.996000
2,16,STA,THROUGHPUT_MBPS,4.980000
2,17,STA,THROUGHPUT_MBPS,4.920000
2,18,STA,THROUGHPUT_MBPS,4.896000
2,19,STA,THROUGHPUT_MBPS,4.428000
2,20,STA,THROUGHPUT_MBPS,4.788000
2,21,STA,THROUGHPUT_MBPS,4.536000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,92.040000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,7670.000000
2,1,AP,LATENCY_P95_MS,255.677799
3,2,STA,THROUGHPUT_MBPS,4.908000
3,3,STA,THROUGHPUT_MBPS,5.388000
3,4,STA,THROUGHPUT_MBPS,5.040000
3,5,STA,THROUGHPUT_MBPS,5.112000
3,6,STA,THROUGHPUT_MBPS,5.160000
3,7,STA,THROUGHPUT_MBPS,5.400000
3,8,STA,THROUGHPUT_MBPS,4.392000
3,9,STA,THROUGHPUT_MBPS,4.932000
3,10,STA,THROUGHPUT_MBPS,3.660000
3,11,STA,THROUGHPUT_MBPS,4.404000
3,12,STA,THROUGHPUT_MBPS,4.788000
3,13,STA,THROUGHPUT_MBPS,4.776000
3,14,STA,THROUGHPUT_MBPS,4.380000
3,15,STA,THROUGHPUT_MBPS,3.588000
3,16,STA,THROUGHPUT_MBPS,4.632000
3,17,STA,THROUGHPUT_MBPS,4.776000
3,18,STA,THROUGHPUT_MBPS,4.728000
3,19,STA,THROUGHPUT_MBPS,5.532000
3,20,STA,THROUGHPUT_MBPS,5.136000
3,21,STA,THROUGHPUT_MBPS,5.148000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,95.880000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,7990.000000
3,1,AP,LATENCY_P95_MS,295.445024
4,2,STA,THROUGHPUT_MBPS,4.524000
4,3,STA,THROUGHPUT_MBPS,4.968000
4,4,STA,THROUGHPUT_MBPS,5.028000
4,5,STA,THROUGHPUT_MBPS,4.764000
4,6,STA,THROUGHPUT_MBPS,3.852000
4,7,STA,THROUGHPUT_MBPS,4.656000
4,8,STA,THROUGHPUT_MBPS,5.496000
4,9,STA,THROUGHPUT_MBPS,4.488000
4,10,STA,THROUGHPUT_MBPS,6.672000
4,11,STA,THROUGHPUT_MBPS,5.736000
4,12,STA,THROUGHPUT_MBPS,5.568000
4,13,STA,THROUGHPUT_MBPS,5.664000
4,14,STA,THROUGHPUT_MBPS,5.112000
4,15,STA,THROUGHPUT_MBPS,6.108000
4,16,STA,THROUGHPUT_MBPS,5.244000
4,17,STA,THROUGHPUT_MBPS,4.596000
