Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,50.000000
0,3,STA,FIXED_STA_DISTANCE,50.000000
0,4,STA,FIXED_STA_DISTANCE,50.000000
0,5,STA,FIXED_STA_DISTANCE,50.000000
0,6,STA,FIXED_STA_DISTANCE,50.000000
0,7,STA,FIXED_STA_DISTANCE,50.000000
0,8,STA,FIXED_STA_DISTANCE,50.000000
0,9,STA,FIXED_STA_DISTANCE,50.000000
0,10,STA,FIXED_STA_DISTANCE,50.000000
0,11,STA,FIXED_STA_DISTANCE,50.000000
0,12,STA,FIXED_STA_DISTANCE,50.000000
0,13,STA,FIXED_STA_DISTANCE,50.000000
0,14,STA,FIXED_STA_DISTANCE,50.000000
0,15,STA,FIXED_STA_DISTANCE,50.000000
0,16,STA,FIXED_STA_DISTANCE,50.000000
0,17,STA,FIXED_STA_DISTANCE,50.000000
0,18,STA,FIXED_STA_DISTANCE,50.000000
0,19,STA,FIXED_STA_DISTANCE,50.000000
0,20,STA,FIXED_STA_DISTANCE,50.000000
0,21,STA,FIXED_STA_DISTANCE,50.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0557139,13,STA,ASSOC,
0.0557139,13,STA,JOINED,
0.0560582,8,STA,ASSOC,
0.0560582,8,STA,JOINED,
0.0564025,14,STA,ASSOC,
0.0564025,14,STA,JOINED,
0.0570849,18,STA,ASSOC,
0.0570849,18,STA,JOINED,
0.0574292,4,STA,ASSOC,
0.0574292,4,STA,JOINED,
0.0578186,19,STA,ASSOC,
0.0578186,19,STA,JOINED,
0.0581629,7,STA,ASSOC,
0.0581629,7,STA,JOINED,
0.0585072,11,STA,ASSOC,
0.0585072,11,STA,JOINED,
0.0588516,9,STA,ASSOC,
0.0588516,9,STA,JOINED,
0.0591959,6,STA,ASSOC,
0.0591959,6,STA,JOINED,
0.0595402,21,STA,ASSOC,
0.0595402,21,STA,JOINED,
0.0633475,20,STA,ASSOC,
0.0633475,20,STA,JOINED,
0.0636919,17,STA,ASSOC,
0.0636919,17,STA,JOINED,
0.0640362,12,STA,ASSOC,
0.0640362,12,STA,JOINED,
0.0647186,2,STA,ASSOC,
0.0647186,2,STA,JOINED,
0.0650629,5,STA,ASSOC,
0.0650629,5,STA,JOINED,
0.0654342,16,STA,ASSOC,
0.0654342,16,STA,JOINED,
0.0661166,3,STA,ASSOC,
0.0661166,3,STA,JOINED,
0.0664609,15,STA,ASSOC,
0.0664609,15,STA,JOINED,
0.15124,10,STA,ASSOC,
0.15124,10,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,2.100000
2,3,STA,THROUGHPUT_MBPS,4.500000
2,4,STA,THROUGHPUT_MBPS,4.920000
2,5,STA,THROUGHPUT_MBPS,3.972000
2,6,STA,THROUGHPUT_MBPS,4.344000
2,7,STA,THROUGHPUT_MBPS,4.572000
2,8,STA,THROUGHPUT_MBPS,4.536000
2,9,STA,THROUGHPUT_MBPS,4.116000
2,10,STA,THROUGHPUT_MBPS,4.932000
2,11,STA,THROUGHPUT_MBPS,2.868000
2,12,STA,THROUGHPUT_MBPS,2.772000
2,13,STA,THROUGHPUT_MBPS,4.608000
2,14,STA,THROUGHPUT_MBPS,4.812000
2,15,STA,THROUGHPUT_MBPS,4.056000
2,16,STA,THROUGHPUT_MBPS,3.276000
2,17,STA,THROUGHPUT_MBPS,4.344000
2,18,STA,THROUGHPUT_MBPS,2.172000
2,19,STA,THROUGHPUT_MBPS,3.732000
2,20,STA,THROUGHPUT_MBPS,4.824000
2,21,STA,THROUGHPUT_MBPS,4.548000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,80.004000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,6667.000000
2,1,AP,LATENCY_P95_MS,406.228348
3,2,STA,THROUGHPUT_MBPS,6.540000
3,3,STA,THROUGHPUT_MBPS,1.884000
3,4,STA,THROUGHPUT_MBPS,3.408000
3,5,STA,THROUGHPUT_MBPS,4.644000
3,6,STA,THROUGHPUT_MBPS,4.248000
3,7,STA,THROUGHPUT_MBPS,3.504000
3,8,STA,THROUGHPUT_MBPS,3.684000
3,9,STA,THROUGHPUT_MBPS,2.220000
3,10,STA,THROUGHPUT_MBPS,4.968000
3,11,STA,THROUGHPUT_MBPS,3.900000
3,12,STA,THROUGHPUT_MBPS,6.156000
3,13,STA,THROUGHPUT_MBPS,3.600000
3,14,STA,THROUGHPUT_MBPS,4.860000
3,15,STA,THROUGHPUT_MBPS,3.300000
3,16,STA,THROUGHPUT_MBPS,4.548000
3,17,STA,THROUGHPUT_MBPS,4.428000
3,18,STA,THROUGHPUT_MBPS,4.464000
3,19,STA,THROUGHPUT_MBPS,5.208000
3,20,STA,THROUGHPUT_MBPS,3.096000
3,21,STA,THROUGHPUT_MBPS,5.388000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,84.048000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,7004.000000
3,1,AP,LATENCY_P95_MS,489.543585
4,2,STA,THROUGHPUT_MBPS,4.512000
4,3,STA,THROUGHPUT_MBPS,5.220000
4,4,STA,THROUGHPUT_MBPS,5.880000
4,5,STA,THROUGHPUT_MBPS,5.064000
4,6,STA,THROUGHPUT_MBPS,3.672000
