Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,70.000000
0,3,STA,FIXED_STA_DISTANCE,70.000000
0,4,STA,FIXED_STA_DISTANCE,70.000000
0,5,STA,FIXED_STA_DISTANCE,70.000000
0,6,STA,FIXED_STA_DISTANCE,70.000000
0,7,STA,FIXED_STA_DISTANCE,70.000000
0,8,STA,FIXED_STA_DISTANCE,70.000000
0,9,STA,FIXED_STA_DISTANCE,70.000000
0,10,STA,FIXED_STA_DISTANCE,70.000000
0,11,STA,FIXED_STA_DISTANCE,70.000000
0,12,STA,FIXED_STA_DISTANCE,70.000000
0,13,STA,FIXED_STA_DISTANCE,70.000000
0,14,STA,FIXED_STA_DISTANCE,70.000000
0,15,STA,FIXED_STA_DISTANCE,70.000000
0,16,STA,FIXED_STA_DISTANCE,70.000000
0,17,STA,FIXED_STA_DISTANCE,70.000000
0,18,STA,FIXED_STA_DISTANCE,70.000000
0,19,STA,FIXED_STA_DISTANCE,70.000000
0,20,STA,FIXED_STA_DISTANCE,70.000000
0,21,STA,FIXED_STA_DISTANCE,70.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0509993,16,STA,ASSOC,
0.0509993,16,STA,JOINED,
0.0522487,13,STA,ASSOC,
0.0522487,13,STA,JOINED,
0.0541161,9,STA,ASSOC,
0.0541161,9,STA,JOINED,
0.0547985,19,STA,ASSOC,
0.0547985,19,STA,JOINED,
0.055481,18,STA,ASSOC,
0.055481,18,STA,JOINED,
0.0586682,6,STA,ASSOC,
0.0586682,6,STA,JOINED,
0.0600266,14,STA,ASSOC,
0.0600266,14,STA,JOINED,
0.0610921,11,STA,ASSOC,
0.0610921,11,STA,JOINED,
0.0617746,10,STA,ASSOC,
0.0617746,10,STA,JOINED,
0.0636242,17,STA,ASSOC,
0.0636242,17,STA,JOINED,
0.0650763,7,STA,ASSOC,
0.0650763,7,STA,JOINED,
0.0657588,20,STA,ASSOC,
0.0657588,20,STA,JOINED,
0.0661033,2,STA,ASSOC,
0.0661033,2,STA,JOINED,
0.0664477,21,STA,ASSOC,
0.0664477,21,STA,JOINED,
0.0675132,4,STA,ASSOC,
0.0675132,4,STA,JOINED,
0.0697431,15,STA,ASSOC,
0.0697431,15,STA,JOINED,
0.0705675,8,STA,ASSOC,
0.0705675,8,STA,JOINED,
0.152083,12,STA,ASSOC,
0.152083,12,STA,JOINED,
0.201454,3,STA,ASSOC,
0.201454,3,STA,JOINED,
0.552409,5,STA,ASSOC,
0.552409,5,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,1.416000
2,3,STA,THROUGHPUT_MBPS,3.576000
2,4,STA,THROUGHPUT_MBPS,3.612000
2,5,STA,THROUGHPUT_MBPS,2.604000
2,6,STA,THROUGHPUT_MBPS,2.220000
2,7,STA,THROUGHPUT_MBPS,3.048000
2,8,STA,THROUGHPUT_MBPS,1.668000
2,9,STA,THROUGHPUT_MBPS,2.400000
2,10,STA,THROUGHPUT_MBPS,1.896000
2,11,STA,THROUGHPUT_MBPS,4.044000
2,12,STA,THROUGHPUT_MBPS,3.312000
2,13,STA,THROUGHPUT_MBPS,3.456000
2,14,STA,THROUGHPUT_MBPS,3.288000
2,15,STA,THROUGHPUT_MBPS,2.100000
2,16,STA,THROUGHPUT_MBPS,0.480000
2,17,STA,THROUGHPUT_MBPS,1.500000
2,18,STA,THROUGHPUT_MBPS,0.960000
2,19,STA,THROUGHPUT_MBPS,2.784000
2,20,STA,THROUGHPUT_MBPS,3.468000
2,21,STA,THROUGHPUT_MBPS,3.168000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,51.000000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,4250.000000
2,1,AP,LATENCY_P95_MS,517.580496
3,2,STA,THROUGHPUT_MBPS,3.372000
3,3,STA,THROUGHPUT_MBPS,2.148000
3,4,STA,THROUGHPUT_MBPS,2.916000
3,5,STA,THROUGHPUT_MBPS,4.464000
3,6,STA,THROUGHPUT_MBPS,3.864000
3,7,STA,THROUGHPUT_MBPS,1.776000
3,8,STA,THROUGHPUT_MBPS,2.712000
3,9,STA,THROUGHPUT_MBPS,1.176000
3,10,STA,THROUGHPUT_MBPS,3.216000
3,11,STA,THROUGHPUT_MBPS,3.996000
3,12,STA,THROUGHPUT_MBPS,1.440000
3,13,STA,THROUGHPUT_MBPS,2.388000
3,14,STA,THROUGHPUT_MBPS,4.428000
3,15,STA,THROUGHPUT_MBPS,1.884000
3,16,STA,THROUGHPUT_MBPS,3.264000
3,17,STA,THROUGHPUT_MBPS,2.844000
3,18,STA,THROUGHPUT_MBPS,4.656000
3,19,STA,THROUGHPUT_MBPS,3.492000
3,20,STA,THROUGHPUT_MBPS,2.664000
3,21,STA,THROUGHPUT_MBPS,5.292000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,61.992000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,5166.000000
3,1,AP,LATENCY_P95_MS,561.573121
3.7936,10,STA,WIFI_DROP,
3.796,10,STA,WIFI_DROP,
3.7984,10,STA,WIFI_DROP,
3.8008,10,STA,WIFI_DROP,
3.8032,10,STA,WIFI_DROP,
3.8056,10,STA,WIFI_DROP,
3.808,10,STA,WIFI_DROP,
3.8104,10,STA,WIFI_DROP,
3.8128,10,STA,WIFI_DROP,
3.8152,10,STA,WIFI_DROP,
3.8176,10,STA,WIFI_DROP,
3.82,10,STA,WIFI_DROP,
3.8224,10,STA,WIFI_DROP,
3.8248,10,STA,WIFI_DROP,
3.8272,10,STA,WIFI_DROP,
3.8296,10,STA,WIFI_DROP,
3.832,10,STA,WIFI_DROP,
3.8344,10,STA,WIFI_DROP,
3.8368,10,STA,WIFI_DROP,
3.8392,10,STA,WIFI_DROP,
3.8416,10,STA,WIFI_DROP,
3.844,10,STA,WIFI_DROP,
3.8464,10,STA,WIFI_DROP,
3.8488,10,STA,WIFI_DROP,
3.8512,10,STA,WIFI_DROP,
3.8536,10,STA,WIFI_DROP,
3.856,10,STA,WIFI_DROP,
3.8584,10,STA,WIFI_DROP,
3.8608,10,STA,WIFI_DROP,
3.8632,10,STA,WIFI_DROP,
3.8656,10,STA,WIFI_DROP,
3.868,10,STA,WIFI_DROP,
3.8704,10,STA,WIFI_DROP,
3.8728,10,STA,WIFI_DROP,
3.8752,10,STA,WIFI_DROP,
3.8776,10,STA,WIFI_DROP,
3.88,10,STA,WIFI_DROP,
3.8824,10,STA,WIFI_DROP,
3.8848,10,STA,WIFI_DROP,
3.8872,10,STA,WIFI_DROP,
3.8896,10,STA,WIFI_DROP,
3.892,10,STA,WIFI_DROP,
3.8944,10,STA,WIFI_DROP,
3.8968,10,STA,WIFI_DROP,
3.8992,10,STA,WIFI_DROP,
3.9016,10,STA,WIFI_DROP,
3.904,10,STA,WIFI_DROP,
3.9064,10,STA,WIFI_DROP,
3.9088,10,STA,WIFI_DROP,
3.9112,10,STA,WIFI_DROP,
