Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,30.000000
0,3,STA,FIXED_STA_DISTANCE,30.000000
0,4,STA,FIXED_STA_DISTANCE,30.000000
0,5,STA,FIXED_STA_DISTANCE,30.000000
0,6,STA,FIXED_STA_DISTANCE,30.000000
0,7,STA,FIXED_STA_DISTANCE,30.000000
0,8,STA,FIXED_STA_DISTANCE,30.000000
0,9,STA,FIXED_STA_DISTANCE,30.000000
0,10,STA,FIXED_STA_DISTANCE,30.000000
0,11,STA,FIXED_STA_DISTANCE,30.000000
0,12,STA,FIXED_STA_DISTANCE,30.000000
0,13,STA,FIXED_STA_DISTANCE,30.000000
0,14,STA,FIXED_STA_DISTANCE,30.000000
0,15,STA,FIXED_STA_DISTANCE,30.000000
0,16,STA,FIXED_STA_DISTANCE,30.000000
0,17,STA,FIXED_STA_DISTANCE,30.000000
0,18,STA,FIXED_STA_DISTANCE,30.000000
0,19,STA,FIXED_STA_DISTANCE,30.000000
0,20,STA,FIXED_STA_DISTANCE,30.000000
0,21,STA,FIXED_STA_DISTANCE,30.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0579196,16,STA,ASSOC,
0.0579196,16,STA,JOINED,
0.0582638,5,STA,ASSOC,
0.0582638,5,STA,JOINED,
0.058608,17,STA,ASSOC,
0.058608,17,STA,JOINED,
0.0589522,20,STA,ASSOC,
0.0589522,20,STA,JOINED,
0.0596344,18,STA,ASSOC,
0.0596344,18,STA,JOINED,
0.0600236,7,STA,ASSOC,
0.0600236,7,STA,JOINED,
0.0603678,12,STA,ASSOC,
0.0603678,12,STA,JOINED,
0.060712,14,STA,ASSOC,
0.060712,14,STA,JOINED,
0.0610562,6,STA,ASSOC,
0.0610562,6,STA,JOINED,
0.0614004,13,STA,ASSOC,
0.0614004,13,STA,JOINED,
0.0617446,19,STA,ASSOC,
0.0617446,19,STA,JOINED,
0.0621338,10,STA,ASSOC,
0.0621338,10,STA,JOINED,
0.062478,11,STA,ASSOC,
0.062478,11,STA,JOINED,
0.0628222,9,STA,ASSOC,
0.0628222,9,STA,JOINED,
0.0631664,21,STA,ASSOC,
0.0631664,21,STA,JOINED,
0.0635106,3,STA,ASSOC,
0.0635106,3,STA,JOINED,
0.0643252,2,STA,ASSOC,
0.0643252,2,STA,JOINED,
0.0651218,15,STA,ASSOC,
0.0651218,15,STA,JOINED,
0.0659184,8,STA,ASSOC,
0.0659184,8,STA,JOINED,
0.151027,4,STA,ASSOC,
0.151027,4,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,4.992000
2,3,STA,THROUGHPUT_MBPS,4.776000
2,4,STA,THROUGHPUT_MBPS,4.896000
2,5,STA,THROUGHPUT_MBPS,5.004000
2,6,STA,THROUGHPUT_MBPS,4.572000
2,7,STA,THROUGHPUT_MBPS,4.968000
2,8,STA,THROUGHPUT_MBPS,4.608000
2,9,STA,THROUGHPUT_MBPS,4.980000
2,10,STA,THROUGHPUT_MBPS,4.296000
2,11,STA,THROUGHPUT_MBPS,4.872000
2,12,STA,THROUGHPUT_MBPS,4.560000
2,13,STA,THROUGHPUT_MBPS,4.656000
2,14,STA,THROUGHPUT_MBPS,4.740000
2,15,STA,THROUGHPUT_MBPS,4.968000
2,16,STA,THROUGHPUT_MBPS,3.108000
2,17,STA,THROUGHPUT_MBPS,4.848000
2,18,STA,THROUGHPUT_MBPS,4.764000
2,19,STA,THROUGHPUT_MBPS,4.980000
2,20,STA,THROUGHPUT_MBPS,4.992000
2,21,STA,THROUGHPUT_MBPS,4.812000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,94.392000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,7866.000000
2,1,AP,LATENCY_P95_MS,174.223842
3,2,STA,THROUGHPUT_MBPS,4.524000
3,3,STA,THROUGHPUT_MBPS,4.224000
3,4,STA,THROUGHPUT_MBPS,4.968000
3,5,STA,THROUGHPUT_MBPS,4.932000
3,6,STA,THROUGHPUT_MBPS,5.124000
3,7,STA,THROUGHPUT_MBPS,4.740000
3,8,STA,THROUGHPUT_MBPS,4.896000
3,9,STA,THROUGHPUT_MBPS,4.956000
3,10,STA,THROUGHPUT_MBPS,5.664000
3,11,STA,THROUGHPUT_MBPS,4.824000
3,12,STA,THROUGHPUT_MBPS,5.412000
3,13,STA,THROUGHPUT_MBPS,4.908000
3,14,STA,THROUGHPUT_MBPS,5.220000
3,15,STA,THROUGHPUT_MBPS,5.028000
3,17,STA,THROUGHPUT_MBPS,5.100000
3,18,STA,THROUGHPUT_MBPS,5.232000
3,19,STA,THROUGHPUT_MBPS,5.016000
3,20,STA,THROUGHPUT_MBPS,5.004000
3,21,STA,THROUGHPUT_MBPS,5.184000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,94.956000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,7913.000000
3,1,AP,LATENCY_P95_MS,148.313389
4,2,STA,THROUGHPUT_MBPS,5.484000
4,3,STA,THROUGHPUT_MBPS,5.628000
4,4,STA,THROUGHPUT_MBPS,3.816000
4,5,STA,THROUGHPUT_MBPS,4.908000
4,6,STA,THROUGHPUT_MBPS,5.112000
4,7,STA,THROUGHPUT_MBPS,5.280000
4,8,STA,THROUGHPUT_MBPS,4.980000
4,9,STA,THROUGHPUT_MBPS,4.884000
4,10,STA,THROUGHPUT_MBPS,4.824000
4,11,STA,THROUGHPUT_MBPS,5.016000
4,12,STA,THROUGHPUT_MBPS,4.824000
4,13,STA,THROUGHPUT_MBPS,4.848000
4,14,STA,THROUGHPUT_MBPS,4.932000
4,15,STA,THROUGHPUT_MBPS,4.980000
4,17,STA,THROUGHPUT_MBPS,5.028000
4,18,STA,THROUGHPUT_MBPS,4.992000
4,19,STA,THROUGHPUT_MBPS,4.884000
4,20,STA,THROUGHPUT_MBPS,5.004000
4,21,STA,THROUGHPUT_MBPS,4.992000
4,1,AP,AGGREGATE_THROUGHPUT_MBPS,94.416000
4,1,AP,SENT_COUNT,8320.000000
4,1,AP,RECV_COUNT,7868.000000
4,1,AP,LATENCY_P95_MS,131.088919
5,2,STA,THROUGHPUT_MBPS,4.860000
5,3,STA,THROUGHPUT_MBPS,5.316000
5,4,STA,THROUGHPUT_MBPS,6.216000
5,5,STA,THROUGHPUT_MBPS,5.052000
5,6,STA,THROUGHPUT_MBPS,5.100000
5,7,STA,THROUGHPUT_MBPS,4.884000
5,8,STA,THROUGHPUT_MBPS,4.932000
5,9,STA,THROUGHPUT_MBPS,5.004000
5,10,STA,THROUGHPUT_MBPS,5.100000
5,11,STA,THROUGHPUT_MBPS,5.016000
5,12,STA,THROUGHPUT_MBPS,5.040000
5,13,STA,THROUGHPUT_MBPS,5.544000
5,14,STA,THROUGHPUT_MBPS,5.076000
5,15,STA,THROUGHPUT_MBPS,4.884000
5,17,STA,THROUGHPUT_MBPS,4.236000
5,18,STA,THROUGHPUT_MBPS,4.788000
5,19,STA,THROUGHPUT_MBPS,4.464000
5,20,STA,THROUGHPUT_MBPS,4.884000
5,21,STA,THROUGHPUT_MBPS,4.920000
5,1,AP,AGGREGATE_THROUGHPUT_MBPS,95.316000
5,1,AP,SENT_COUNT,8340.000000
5,1,AP,RECV_COUNT,7943.000000
5,1,AP,LATENCY_P95_MS,132.090000
6,2,STA,THROUGHPUT_MBPS,5.088000
6,3,STA,THROUGHPUT_MBPS,5.064000
6,4,STA,THROUGHPUT_MBPS,4.992000
6,5,STA,THROUGHPUT_MBPS,4.956000
6,6,STA,THROUGHPUT_MBPS,5.016000
6,7,STA,THROUGHPUT_MBPS,4.992000
6,8,STA,THROUGHPUT_MBPS,5.544000
6,9,STA,THROUGHPUT_MBPS,5.172000
6,10,STA,THROUGHPUT_MBPS,5.088000
6,11,STA,THROUGHPUT_MBPS,5.268000
6,12,STA,THROUGHPUT_MBPS,5.112000
6,13,STA,THROUGHPUT_MBPS,4.980000
6,14,STA,THROUGHPUT_MBPS,4.968000
6,15,STA,THROUGHPUT_MBPS,4.524000
6,17,STA,THROUGHPUT_MBPS,5.508000
6,18,STA,THROUGHPUT_MBPS,5.232000
6,19,STA,THROUGHPUT_MBPS,4.896000
6,20,STA,THROUGHPUT_MBPS,5.052000
6,21,STA,THROUGHPUT_MBPS,3.768000
6,1,AP,AGGREGATE_THROUGHPUT_MBPS,95.220000
6,1,AP,SENT_COUNT,8340.000000
6,1,AP,RECV_COUNT,7935.000000
6,1,AP,LATENCY_P95_MS,151.168876
7,2,STA,THROUGHPUT_MBPS,5.028000
7,3,STA,THROUGHPUT_MBPS,4.968000
