area_m,throughput_mbps,latency_p95_ms,loss_pct,run_count,breakpoint_area_m
30.0,99.936,189.380880975,0.27166666666667005,10,40.0
40.0,99.21000000000001,351.81540944999995,0.8636666666666626,10,40.0
50.0,90.531,525.877733325,9.608,10,40.0
60.0,77.541,568.0719038499999,22.744,10,40.0
70.0,64.05,581.8197567249999,35.63766666666667,10,40.0
80.0,43.122,555.1860876999999,56.677,10,40.0
85.0,30.246,549.8636265499999,70.019,10,40.0
90.0,19.296,548.9889373,80.19166666666666,10,40.0
100.0,7.785,584.5344462749999,91.49566666666666,10,40.0
105.0,5.121,747.3045429999984,94.65766666666667,10,40.0
110.0,2.2889999999999997,649.6423044999997,97.59100000000001,10,40.0
115.0,1.1400000000000001,577.9223475499998,98.67966666666666,10,40.0
120.0,0.6779999999999999,568.9820055499999,99.451,10,40.0
125.0,0.387,552.758491325,99.80866666666667,10,40.0
