Time_s,NodeID,NodeType,Action,Value
0,2,STA,FIXED_STA_DISTANCE,70.000000
0,3,STA,FIXED_STA_DISTANCE,70.000000
0,4,STA,FIXED_STA_DISTANCE,70.000000
0,5,STA,FIXED_STA_DISTANCE,70.000000
0,6,STA,FIXED_STA_DISTANCE,70.000000
0,7,STA,FIXED_STA_DISTANCE,70.000000
0,8,STA,FIXED_STA_DISTANCE,70.000000
0,9,STA,FIXED_STA_DISTANCE,70.000000
0,10,STA,FIXED_STA_DISTANCE,70.000000
0,11,STA,FIXED_STA_DISTANCE,70.000000
0,12,STA,FIXED_STA_DISTANCE,70.000000
0,13,STA,FIXED_STA_DISTANCE,70.000000
0,14,STA,FIXED_STA_DISTANCE,70.000000
0,15,STA,FIXED_STA_DISTANCE,70.000000
0,16,STA,FIXED_STA_DISTANCE,70.000000
0,17,STA,FIXED_STA_DISTANCE,70.000000
0,18,STA,FIXED_STA_DISTANCE,70.000000
0,19,STA,FIXED_STA_DISTANCE,70.000000
0,20,STA,FIXED_STA_DISTANCE,70.000000
0,21,STA,FIXED_STA_DISTANCE,70.000000
0,2,STA,FIXED_TX_POWER_DBM,24.000000
0,2,STA,NAKAGAMI_FADING,1.000000
0.0539479,17,STA,ASSOC,
0.0539479,17,STA,JOINED,
0.0542924,16,STA,ASSOC,
0.0542924,16,STA,JOINED,
0.0556509,7,STA,ASSOC,
0.0556509,7,STA,JOINED,
0.0580672,11,STA,ASSOC,
0.0580672,11,STA,JOINED,
0.0584117,6,STA,ASSOC,
0.0584117,6,STA,JOINED,
0.101395,9,STA,ASSOC,
0.101395,9,STA,JOINED,
0.107221,2,STA,ASSOC,
0.107221,2,STA,JOINED,
0.10793,3,STA,ASSOC,
0.10793,3,STA,JOINED,
0.108951,5,STA,ASSOC,
0.108951,5,STA,JOINED,
0.109669,20,STA,ASSOC,
0.109669,20,STA,JOINED,
0.110351,4,STA,ASSOC,
0.110351,4,STA,JOINED,
0.111034,21,STA,ASSOC,
0.111034,21,STA,JOINED,
0.111743,8,STA,ASSOC,
0.111743,8,STA,JOINED,
0.112088,10,STA,ASSOC,
0.112088,10,STA,JOINED,
0.11277,18,STA,ASSOC,
0.11277,18,STA,JOINED,
0.113115,19,STA,ASSOC,
0.113115,19,STA,JOINED,
0.113912,13,STA,ASSOC,
0.113912,13,STA,JOINED,
0.114951,12,STA,ASSOC,
0.114951,12,STA,JOINED,
0.20181,15,STA,ASSOC,
0.20181,15,STA,JOINED,
0.60239,14,STA,ASSOC,
0.60239,14,STA,JOINED,
1,1,AP,SENT_COUNT,
1,1,AP,RECV_COUNT,
2,2,STA,THROUGHPUT_MBPS,4.164000
2,3,STA,THROUGHPUT_MBPS,2.028000
2,4,STA,THROUGHPUT_MBPS,1.176000
2,5,STA,THROUGHPUT_MBPS,3.588000
2,6,STA,THROUGHPUT_MBPS,2.664000
2,7,STA,THROUGHPUT_MBPS,2.652000
2,8,STA,THROUGHPUT_MBPS,1.416000
2,9,STA,THROUGHPUT_MBPS,3.024000
2,10,STA,THROUGHPUT_MBPS,0.684000
2,11,STA,THROUGHPUT_MBPS,3.840000
2,12,STA,THROUGHPUT_MBPS,2.064000
2,13,STA,THROUGHPUT_MBPS,3.852000
2,15,STA,THROUGHPUT_MBPS,4.140000
2,16,STA,THROUGHPUT_MBPS,1.608000
2,17,STA,THROUGHPUT_MBPS,1.968000
2,18,STA,THROUGHPUT_MBPS,2.736000
2,19,STA,THROUGHPUT_MBPS,4.872000
2,20,STA,THROUGHPUT_MBPS,2.976000
2,21,STA,THROUGHPUT_MBPS,3.552000
2,1,AP,AGGREGATE_THROUGHPUT_MBPS,53.004000
2,1,AP,SENT_COUNT,8340.000000
2,1,AP,RECV_COUNT,4417.000000
2,1,AP,LATENCY_P95_MS,515.714126
3,2,STA,THROUGHPUT_MBPS,2.604000
3,3,STA,THROUGHPUT_MBPS,3.864000
3,4,STA,THROUGHPUT_MBPS,1.416000
3,5,STA,THROUGHPUT_MBPS,2.064000
3,6,STA,THROUGHPUT_MBPS,5.964000
3,7,STA,THROUGHPUT_MBPS,4.944000
3,8,STA,THROUGHPUT_MBPS,4.200000
3,9,STA,THROUGHPUT_MBPS,1.332000
3,10,STA,THROUGHPUT_MBPS,2.796000
3,11,STA,THROUGHPUT_MBPS,5.592000
3,12,STA,THROUGHPUT_MBPS,5.448000
3,13,STA,THROUGHPUT_MBPS,2.868000
3,15,STA,THROUGHPUT_MBPS,4.536000
3,16,STA,THROUGHPUT_MBPS,2.628000
3,17,STA,THROUGHPUT_MBPS,2.844000
3,18,STA,THROUGHPUT_MBPS,3.000000
3,19,STA,THROUGHPUT_MBPS,2.160000
3,20,STA,THROUGHPUT_MBPS,2.676000
3,21,STA,THROUGHPUT_MBPS,3.852000
3,1,AP,AGGREGATE_THROUGHPUT_MBPS,64.788000
3,1,AP,SENT_COUNT,8340.000000
3,1,AP,RECV_COUNT,5399.000000
3,1,AP,LATENCY_P95_MS,551.790944
4,2,STA,THROUGHPUT_MBPS,5.220000
4,3,STA,THROUGHPUT_MBPS,3.576000
4,4,STA,THROUGHPUT_MBPS,1.200000
4,5,STA,THROUGHPUT_MBPS,5.460000
4,6,STA,THROUGHPUT_MBPS,4.272000
4,7,STA,THROUGHPUT_MBPS,1.632000
4,8,STA,THROUGHPUT_MBPS,4.716000
4,9,STA,THROUGHPUT_MBPS,3.384000
4,10,STA,THROUGHPUT_MBPS,2.940000
4,11,STA,THROUGHPUT_MBPS,2.856000
4,12,STA,THROUGHPUT_MBPS,4.896000
4,13,STA,THROUGHPUT_MBPS,4.464000
4,15,STA,THROUGHPUT_MBPS,1.128000
4,16,STA,THROUGHPUT_MBPS,2.712000
4,17,STA,THROUGHPUT_MBPS,4.128000
4,18,STA,THROUGHPUT_MBPS,2.688000
4,19,STA,THROUGHPUT_MBPS,5.112000
4,20,STA,THROUGHPUT_MBPS,2.652000
4,21,STA,THROUGHPUT_MBPS,2.904000
4,1,AP,AGGREGATE_THROUGHPUT_MBPS,65.940000
4,1,AP,SENT_COUNT,8320.000000
4,1,AP,RECV_COUNT,5495.000000
4,1,AP,LATENCY_P95_MS,571.744580
5,2,STA,THROUGHPUT_MBPS,1.272000
5,3,STA,THROUGHPUT_MBPS,1.836000
5,4,STA,THROUGHPUT_MBPS,2.952000
5,5,STA,THROUGHPUT_MBPS,4.116000
5,6,STA,THROUGHPUT_MBPS,2.880000
5,7,STA,THROUGHPUT_MBPS,2.904000
5,8,STA,THROUGHPUT_MBPS,4.428000
5,9,STA,THROUGHPUT_MBPS,6.000000
5,10,STA,THROUGHPUT_MBPS,5.340000
5,11,STA,THROUGHPUT_MBPS,2.784000
5,12,STA,THROUGHPUT_MBPS,4.584000
5,13,STA,THROUGHPUT_MBPS,2.400000
5,15,STA,THROUGHPUT_MBPS,4.668000
5,16,STA,THROUGHPUT_MBPS,2.784000
5,17,STA,THROUGHPUT_MBPS,2.640000
5,18,STA,THROUGHPUT_MBPS,1.248000
5,19,STA,THROUGHPUT_MBPS,5.388000
5,20,STA,THROUGHPUT_MBPS,4.716000
